Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 113,2.9,1.8,13.5,50,18,24,3.1
Kabel 114,4.9,2.7,8.6,100,-26,21,3.2
Kabel 115,4.9,2.5,8.1,100,60,16,5.9
Kabel 116,8.4,2.7,10.1,80,121,20,4.8
Kabel 117,8.6,2.3,20.3,90,6,25,3.6
Kabel 118,5.1,1.6,25.8,90,148,21,4.7
Kabel 119,8.5,2.2,11,50,27,20,4.5
Kabel 120,1.7,1.9,12.7,70,107,17,3.9
Kabel 121,3.2,2.7,26.1,50,-19,24,6
Kabel 122,8.3,2.8,8.1,90,27,22,3.4
Kabel 123,9.4,2.3,16.6,70,36,26,5.8
Kabel 124,6.3,2.2,18.5,70,17,15,6
Kabel 125,6.2,1.7,12.7,70,98,15,5
Kabel 126,2.7,2,11.5,70,141,19,3.9
Kabel 127,3.6,2.7,9.9,60,12,24,3
Kabel 128,5.6,1.7,16.5,80,73,17,5
Kabel 129,3.6,1.9,9,90,71,25,3.8
Kabel 130,5.5,2.8,25.9,80,-21,18,4
Kabel 131,4.8,2.8,26.4,90,5,19,3.1
Kabel 132,8.6,2.6,14.4,70,108,23,3.1
Kabel 133,7.3,2.2,17,80,54,25,3.5
Kabel 134,4.2,2.5,19.7,80,119,25,3.1
Kabel 135,6.9,2.5,11.4,100,146,20,3
Kabel 136,7.3,1.7,24.3,70,2,26,3.5
Kabel 137,5,2.3,9.5,80,77,25,3.4
Kabel 138,5.3,2.2,15,80,24,26,5.7
Kabel 139,2.1,2.1,22,90,46,26,4.1
Kabel 140,6.9,2.4,17.6,60,82,17,4.8
Kabel 141,5.8,2.3,21.8,90,89,17,5
Kabel 142,4.8,1.7,9.6,50,-39,15,4.2
Kabel 143,3.5,2.4,11.5,90,102,17,4.7
Kabel 144,2.1,1.8,25.9,50,60,23,2.4
Kabel 145,2.4,2.4,10.4,80,-8,13,2.6
Kabel 146,3.8,1.8,9.2,90,135,23,4.6
Kabel 147,2.6,2.1,8,90,85,20,3
Kabel 148,9.6,2.1,18.6,80,116,22,2.9
Kabel 149,7.7,1.9,27.6,50,61,17,3.3
Kabel 150,3.4,2.5,27.3,100,-17,20,5.1
Kabel 151,1.2,2.5,16.3,50,142,17,5.3
Kabel 152,3.6,2.2,15.9,90,83,17,3.1
Kabel 153,8.6,2,17.9,90,32,13,3.4
Kabel 154,7,2.2,16.1,80,45,22,2.2
Kabel 155,9.3,1.8,9,70,111,21,5.7
Kabel 156,9.4,1.9,25.9,90,139,20,2.7
Kabel 157,6.3,1.8,13.7,90,-26,17,4.3
Kabel 158,6.6,2.3,26.4,50,-14,22,4.1
Kabel 159,1.7,2.1,20.7,60,-23,16,2
Kabel 160,5.5,2.3,19.3,60,68,21,5.4
Kabel 161,4.1,2.5,23.6,90,-2,20,3.2
Kabel 162,4.5,1.6,21.3,60,130,24,5.6
Kabel 163,2.5,2,11.7,70,12,14,5.1
Kabel 164,3.3,2.5,8.9,90,102,25,4
Kabel 165,5.1,2.3,13.4,60,-33,18,4.4
Kabel 166,9.5,2.1,15.1,100,-34,24,2.9
Kabel 167,2.3,2.3,20.2,70,125,26,2.2
Kabel 168,9.4,2.7,27.5,70,109,17,3.6
Kabel 169,1.1,2.2,17.8,100,-15,21,5.8
Kabel 170,5.3,2.7,16.2,50,-20,15,3.9
Kabel 171,1.5,2,9.7,70,75,22,2.6
Kabel 172,3.5,2.8,15,80,48,22,3
Kabel 173,2.5,2.2,13.8,90,122,16,4.7
Kabel 174,6,2.5,26.5,90,24,16,5.2
Kabel 175,3.7,2.8,10.8,60,125,22,3.7
Kabel 176,1.6,2,12,50,136,16,5.3
Kabel 177,1.8,2.1,19.3,90,2,25,5.9
Kabel 178,1.9,2.7,8.5,80,-21,26,2.9
Kabel 179,2,1.6,9.4,60,-5,19,5.4
Kabel 180,7.8,1.8,19.5,70,128,26,2.5
Kabel 181,1.2,2,13.6,80,19,18,3
Kabel 182,6.2,2.5,11.6,60,47,25,3
Kabel 183,9.6,1.6,13.1,50,-29,19,3.5
Kabel 184,9,2.6,26.3,90,40,14,4.3
Kabel 185,3.7,2.2,11.1,70,63,14,3.6
Kabel 186,3.5,2.5,10.4,70,57,25,3
Kabel 187,2.5,2.2,18.3,90,120,16,5.7
Kabel 188,2,2.2,25.3,60,-29,23,2.5
Kabel 189,7.3,2.2,8.7,60,141,21,4
Kabel 190,5.2,2.3,25.8,80,14,17,2.2
Kabel 191,4.7,2.6,17,60,110,23,4.2
Kabel 192,6.4,2.7,10.5,60,-36,21,4
Kabel 193,8.6,2.3,10.3,90,96,15,2.2
Kabel 194,1.3,2.3,9,60,65,16,3.9
Kabel 195,6.2,2,13.2,70,51,13,3.1
Kabel 196,4.8,2.2,26,100,136,21,6
Kabel 197,2.5,2.1,12.2,70,32,13,3.5
Kabel 198,1.5,2.7,20.1,80,16,21,5.2
Kabel 199,8.5,2.8,20.3,100,41,20,2.2
Kabel 200,9,2.6,8.8,60,143,18,4
Kabel 201,4.6,2.6,19.6,70,-26,20,2.5
Kabel 202,7.1,1.9,17.9,50,149,15,4
Kabel 203,7.6,1.8,10.7,50,45,26,4.5
Kabel 204,2.4,1.7,22.3,60,76,27,5.3
Kabel 205,2,2.4,16.4,90,35,26,2.1
Kabel 206,8.6,2.4,20.3,60,62,24,5.7
Kabel 207,1.1,2.2,9.9,60,13,20,5.2
Kabel 208,9,2,8.2,80,99,17,4.8
Kabel 209,3.4,2.4,19.3,60,44,18,5.8
Kabel 210,1.8,1.8,15.1,90,36,22,3.3
Kabel 211,8.1,1.9,16,50,144,24,2.6
Kabel 212,5.3,1.6,16.2,60,93,19,3
Kabel 213,4.4,1.7,10.3,70,7,19,5.4
Kabel 214,8.9,2.1,14,60,16,17,3.8
Kabel 215,1.7,2,15.5,70,71,18,4.3
Kabel 216,5.3,2.4,9.3,50,-2,17,5.2
Kabel 217,3.5,2.8,18.6,90,89,19,5.9
Kabel 218,3.6,1.6,21.4,50,61,15,3.1
Kabel 219,3.9,1.7,20.7,70,97,15,3.4
Kabel 220,4.2,2.1,18.1,70,-21,26,5.5
Kabel 221,7.2,1.7,24.6,90,139,15,3.8
Kabel 222,3.3,1.8,23.1,100,102,25,4.8
Kabel 223,7,2.5,12.1,90,65,21,2.6
Kabel 224,9.3,2.5,9,80,38,15,2.6
Kabel 225,4.3,2.3,21.3,90,93,24,5.4
Kabel 226,6.4,2.7,11.1,80,65,23,3
Kabel 227,6.6,2.1,25.3,100,27,24,2.5
Kabel 228,2.9,2.1,15.3,60,85,25,2.8
Kabel 229,8.5,2.6,11.4,90,33,20,4.7
Kabel 230,8.3,2,26.2,70,98,23,3.7
Kabel 231,5.2,2.4,12.1,90,7,26,5.1
Kabel 232,2.9,2.4,25.7,90,-35,25,2.4
Kabel 233,6.8,2.2,22.7,60,107,26,2.7
Kabel 234,4.6,1.9,25.5,70,105,20,2.1
Kabel 235,4.6,1.6,11.6,50,-1,22,4.5
Kabel 236,5.1,1.9,18.2,60,112,13,3.6
Kabel 237,1.5,2,21.3,100,-28,13,3.4
Kabel 238,3.5,2,23.1,90,20,26,3.5
Kabel 239,8.9,2.2,24.9,70,7,19,5.4
Kabel 240,2.9,2.4,8,90,-33,19,5.7
Kabel 241,2,1.9,25.8,70,19,16,4.1
Kabel 242,6.6,1.7,15.5,90,48,16,2.3
Kabel 243,6.4,1.7,23.5,100,132,25,3.9
Kabel 244,2.7,1.9,11.7,100,4,17,5.2
Kabel 245,8.2,1.6,14.5,70,8,17,4.2
Kabel 246,5.7,1.6,21.7,60,110,18,2.4
Kabel 247,8.1,1.8,24.3,80,98,18,3.4
Kabel 248,7.5,1.9,10.9,80,-16,19,5.7
Kabel 249,3.5,2.3,10.8,60,-37,23,4.7
Kabel 250,3.3,1.9,22.1,90,18,26,4.2
Kabel 251,7.8,2.1,20.8,70,37,14,3.6
Kabel 252,3.7,1.7,24,70,118,21,2.3
Kabel 253,1.4,2.4,22.7,80,123,25,3.3
Kabel 254,8.6,2.7,8.8,100,-39,20,5.6
Kabel 255,8.5,2.2,16.3,60,136,24,5.5
Kabel 256,3,1.7,12.6,100,-8,17,5
Kabel 257,5,2.1,16.1,90,148,14,2.3
Kabel 258,8.5,2.1,26.2,60,2,26,5.4
Kabel 259,4.2,2.5,14.6,90,-1,25,3.1
Kabel 260,5,2,15.7,100,83,14,3.1
Kabel 261,9.6,2.3,24.2,80,49,25,5.9
Kabel 262,9.7,2.4,16.5,70,-16,14,3
Kabel 263,7.6,2.3,16.1,80,124,21,4.1
Kabel 264,1.4,2.1,18,50,29,20,4.8
Kabel 265,3.5,2,13.7,80,96,20,5.8
Kabel 266,5.7,1.6,23.5,70,125,15,5.2
Kabel 267,8.3,2.5,16.3,60,-37,23,2.8
Kabel 268,7,2.8,10,50,68,23,5.9
Kabel 269,2.8,2.4,11.9,80,59,21,3.3
Kabel 270,3,2.2,19.8,60,-24,16,4.2
Kabel 271,9.4,2.6,14.1,80,67,13,5.3
Kabel 272,5.7,2.7,25.9,70,130,13,5.9
Kabel 273,9.2,2,12.9,50,-17,19,2.4
Kabel 274,7.6,1.6,26.7,70,85,23,2.7
Kabel 275,4.5,2.6,15.5,70,99,15,3.9
Kabel 276,9.5,1.6,13.9,100,27,22,5.4
Kabel 277,5.6,1.9,20.8,90,26,18,2.3
Kabel 278,6.4,2,20.3,80,-15,26,4.6
Kabel 279,6.1,2.8,10.5,80,30,19,5.7
Kabel 280,8.5,1.9,13.2,90,-9,17,4.4
Kabel 281,6.7,2.6,17.2,50,75,16,3
Kabel 282,1.6,1.8,9.5,80,82,24,4.3
Kabel 283,8.1,2.2,20.5,80,86,21,3
Kabel 284,4.7,2,23.7,50,-4,18,2.8
Kabel 285,4.2,1.9,9.9,60,30,26,5
Kabel 286,7.6,1.8,16.5,60,46,16,3
Kabel 287,5.1,2.3,26.6,80,-5,27,2.9
Kabel 288,2,2.3,12.1,70,56,25,5.9
Kabel 289,4.8,2.5,10.9,50,40,21,4.1
Kabel 290,2.7,1.7,16.1,70,131,25,2.4
Kabel 291,9.7,2.1,14.6,90,-38,20,3.7
Kabel 292,7.6,1.6,21.8,70,-38,18,6
Kabel 293,5.7,2,8.4,60,109,18,5.6
Kabel 294,7.2,2.6,10.5,80,60,17,4.8
Kabel 295,7.6,2.7,8.1,90,67,15,3.3
Kabel 296,7.5,2.7,22.6,60,-1,21,5
Kabel 297,5.5,2.6,18,90,77,25,2.6
Kabel 298,5.9,2.3,18,70,67,20,2.3
Kabel 299,8.7,2.3,14.6,70,-0,24,5.4
Kabel 300,5.9,2.2,15.5,80,-23,15,3.9
Kabel 301,4.3,2.8,20.5,50,-19,17,4.9
Kabel 302,5.4,1.9,13.6,80,17,25,2.8
Kabel 303,2,1.7,9.4,90,69,25,4.8
Kabel 304,6.8,2.3,24.9,80,25,21,2.7
Kabel 305,8.2,1.6,28,80,-2,17,2.1
Kabel 306,4.9,2.8,18.9,80,22,19,5.4
Kabel 307,1.6,2.5,12.8,50,115,16,4
Kabel 308,8.1,1.9,23.8,70,137,15,5.1
Kabel 309,6.9,2.5,13.5,70,96,27,4
Kabel 310,2.3,2.6,15.9,60,28,19,5.5
Kabel 311,7.9,2.5,23.1,80,51,14,4.5
Kabel 312,3.3,2.1,13.9,70,145,18,5.7
Kabel 313,5.2,2.7,12.9,80,26,16,2.4
Kabel 314,4,2.6,20.7,50,125,17,2.5
Kabel 315,2.2,2,26.8,70,-13,26,2.9
Kabel 316,2.3,1.6,16.6,60,25,14,4.4
Kabel 317,7.5,1.7,15.5,100,111,18,2.5
Kabel 318,4.2,2.1,24.4,50,-31,20,3.5
Kabel 319,4.8,2.3,9.1,50,-31,17,4.5
Kabel 320,7.7,2.3,16.3,70,115,24,4.5
Kabel 321,8,2.5,12.9,60,-38,13,2.1
Kabel 322,2,2.6,22.7,60,68,21,3.9
Kabel 323,3.8,2.2,19.5,80,-4,16,5
Kabel 324,8.5,1.9,14,60,118,27,2.2
Kabel 325,5.4,2.3,14.1,60,-10,20,3.1
Kabel 326,5.9,1.8,23.2,70,-28,18,3.4
Kabel 327,5.1,2.3,21.9,100,50,17,2.3
Kabel 328,6.7,2.6,26.9,90,116,20,5.8
Kabel 329,5.9,2.5,22,100,-24,26,3.7
Kabel 330,6.9,1.7,18.3,60,15,17,2.4
Kabel 331,7.4,1.7,27.4,80,-17,23,5
Kabel 332,1.8,2.1,22.5,50,121,24,4.3
Kabel 333,2,1.7,10.1,60,-22,21,4.3
Kabel 334,4.6,1.6,26.5,90,-37,20,2.2
Kabel 335,1.5,2.7,9.2,70,45,21,3.2
Kabel 336,6.4,2.2,16,100,141,16,4.7
Kabel 337,5.7,2.3,26.5,80,-23,24,2.1
Kabel 338,4.4,2,21.5,70,-29,20,2.5
Kabel 339,6,2.4,12.8,100,48,16,5.6
Kabel 340,5.4,2.7,26,50,24,23,5.9
Kabel 341,8.7,2.7,10.6,70,62,27,4.8
Kabel 342,9.7,1.7,13,90,83,27,2.4
Kabel 343,2.1,2.4,12.3,80,66,24,2.1
Kabel 344,6.4,2.8,23.4,70,42,21,2.9
Kabel 345,8.8,2.6,11.7,90,63,19,4.6
Kabel 346,4.7,2.2,27.7,70,39,24,2.7
Kabel 347,6.8,1.7,26.9,60,150,19,2.8
Kabel 348,7.2,2.2,11.8,90,99,14,5.3
Kabel 349,3.2,1.9,21.2,90,58,16,6
Kabel 350,9.8,2.5,28,90,35,15,3.7
Kabel 351,8.3,2.3,24,70,33,17,3.9
Kabel 352,6.7,1.7,19.1,60,18,25,5.9
Kabel 353,2,1.7,9.7,90,137,14,2.5
Kabel 354,8.7,2,8.5,80,100,15,2.7
Kabel 355,4.1,2.1,13.3,60,61,26,5.9
Kabel 356,6.9,2.3,10.2,70,121,22,3.3
Kabel 357,7.8,1.6,22.6,90,9,23,5.9
Kabel 358,6.1,2.6,14.7,90,8,23,2.9
Kabel 359,8,1.7,18.5,90,-14,13,2.2
Kabel 360,5.9,2.8,24.8,90,-30,16,4.4
Kabel 361,7.8,2.1,24,100,31,22,4.1
Kabel 362,3.7,1.8,15.7,60,-37,18,3.9
Kabel 363,6.8,1.7,22.4,70,28,25,4.9
Kabel 364,1.3,1.9,22.6,80,142,22,4.8
Kabel 365,6.6,2.6,8.6,100,-24,22,5.8
Kabel 366,7.7,1.9,11,100,126,22,5.8
Kabel 367,1.6,2.3,11.9,80,87,25,2.3
Kabel 368,2.8,1.7,17.3,80,11,18,2.5
Kabel 369,10,2.7,18.7,100,-9,22,5.1
Kabel 370,5.3,1.7,15.9,80,110,19,4.7
Kabel 371,8.7,2.1,16.1,80,117,27,3.8
Kabel 372,9.1,1.9,24.6,90,99,24,2.3
Kabel 373,4.2,1.7,18.1,70,25,13,2.3
Kabel 374,1.5,1.9,12,80,125,13,5.4
Kabel 375,9.2,2.5,9.7,70,139,27,2.7
Kabel 376,2.4,2.4,22.1,100,147,18,5.9
Kabel 377,6.5,2.3,22.8,60,8,25,3.2
Kabel 378,2.6,2.3,13.5,90,-5,21,5.3
Kabel 379,4.5,1.9,9,60,78,18,4.1
Kabel 380,3.6,1.9,25.6,80,-29,26,4.4
Kabel 381,2.5,1.9,13.3,80,43,14,2.5
Kabel 382,3.4,2.7,15.3,70,43,17,4.9
Kabel 383,6.7,2.4,16.6,70,-40,14,3.5
Kabel 384,4.1,2,21.5,70,34,24,5.3
Kabel 385,5.3,2.4,21.1,90,34,22,5.3
Kabel 386,2.9,2,24,70,81,19,3.6
Kabel 387,9.2,2,8.9,90,133,22,3
Kabel 388,9.2,1.9,26.7,60,119,21,3.8
Kabel 389,8.2,2.3,17.5,100,-19,17,3
Kabel 390,7.1,1.9,21.9,60,-35,25,5.6
Kabel 391,3.2,2.7,16,80,108,23,2.8
Kabel 392,2.2,2.5,9.7,60,65,17,4.7
Kabel 393,2.6,2.7,19.3,80,21,24,5.7
Kabel 394,6.1,1.7,12.1,80,101,17,5.2
Kabel 395,1.3,1.9,10.3,70,76,23,3.5
Kabel 396,5.2,2.1,27.8,80,133,17,5.3
Kabel 397,2.6,2.6,14.6,100,62,18,2.6
Kabel 398,2.1,2.7,27,70,102,18,5.8
Kabel 399,9.4,2,12.3,60,23,24,4
Kabel 400,2.3,2.4,18.8,70,-17,25,2.9
Kabel 401,1.7,2.6,21.9,50,135,19,3.5
Kabel 402,5.1,1.8,24.8,90,58,23,3.8
Kabel 403,9.1,2.4,27,70,142,15,4.1
Kabel 404,1.9,2.4,20.3,60,13,20,3.4
Kabel 405,2.1,2.2,21.9,80,131,13,2.7
Kabel 406,5,2.3,20.6,80,108,24,3
Kabel 407,7.5,2.4,9.4,70,133,18,5
Kabel 408,3,2.1,20.5,70,-20,24,2.7
Kabel 409,5.1,1.8,26.6,90,116,14,4.3
Kabel 410,4.6,2.6,19.7,90,61,26,2
Kabel 411,4.1,2.4,17.5,80,-25,14,4.5
Kabel 412,1.6,1.9,21.9,60,74,18,3
Kabel 413,8.7,1.9,26.9,70,52,16,2.8
Kabel 414,4.9,2,16.5,80,139,25,3.2
Kabel 415,5.1,2.3,27.1,90,87,21,5.3
Kabel 416,8.4,2.1,24.7,60,111,23,3.2
Kabel 417,4.1,1.8,14.8,70,113,27,2.4
Kabel 418,9.3,2.1,9.6,50,126,15,3.6
Kabel 419,6.4,2.3,23.5,60,45,18,5.8
Kabel 420,7.4,2.1,11.1,90,82,15,2.1
Kabel 421,2.8,1.8,20.6,70,125,25,5.3
Kabel 422,4.4,2.4,18.5,80,148,21,5.1
Kabel 423,9.7,2.5,13.1,90,103,26,5.8
Kabel 424,1.6,2,14.6,50,150,26,3.6
Kabel 425,1,2.3,10.6,60,35,22,3.9
Kabel 426,2.5,1.9,25,80,-21,20,4.1
Kabel 427,6.6,2.5,16.3,80,0,20,2
Kabel 428,9.9,2,16.5,60,79,21,6
Kabel 429,3.8,2.1,19.2,90,58,18,4.3
Kabel 430,5.1,2.7,18.5,100,109,23,2.9
Kabel 431,2.3,1.7,19.9,80,6,20,3.2
Kabel 432,2.9,2.3,15.9,70,119,22,2.2
Kabel 433,10,2.4,21.1,50,67,15,2.1
Kabel 434,2.6,2.5,10,100,113,18,3.4
Kabel 435,7.4,2.2,23.1,80,3,22,2.4
Kabel 436,1.3,2.1,25.2,100,147,25,5
Kabel 437,4.6,1.7,14.6,60,72,22,5.9
Kabel 438,9.3,2,9.7,70,41,24,2.7
Kabel 439,2.2,1.7,26.8,60,147,27,2.6
Kabel 440,2.5,2.5,24.9,100,101,25,4.4
Kabel 441,4.7,2.3,14.7,90,125,21,4.7
Kabel 442,7.6,2.4,12.4,80,75,26,4.8
Kabel 443,5.7,2.3,11.1,70,22,21,5.8
Kabel 444,1.5,2.5,13.1,100,45,17,3.6
Kabel 445,7.8,1.7,16.7,90,108,13,4.3
Kabel 446,5.9,1.7,19.2,70,43,24,5.5
Kabel 447,2.9,2.7,20.7,60,29,26,5.8
Kabel 448,4.7,1.8,26,50,-17,26,4.7
Kabel 449,6.3,2.4,10,90,66,16,2.5
Kabel 450,4.6,1.8,27.7,60,40,18,3.2
Kabel 451,6.7,2.1,26.4,70,-8,18,4
Kabel 452,1.6,1.9,27.2,70,75,14,2.3
Kabel 453,7.7,2.2,19,90,108,17,3.1
Kabel 454,6.6,2.7,11.8,90,-36,15,4.2
Kabel 455,9.3,1.8,10.1,90,48,14,3.3
Kabel 456,6.8,2.6,24.3,90,-13,14,3.6
Kabel 457,3.8,2.5,13.9,90,124,20,2
Kabel 458,1.6,1.9,25.1,70,-24,24,5.6
Kabel 459,3.1,1.8,16,80,35,15,2.5
Kabel 460,4.3,2.1,17.1,50,-0,20,4.8
Kabel 461,9,2.6,12.7,80,60,17,5.3
Kabel 462,8.8,1.9,19.6,80,71,19,2.6
Kabel 463,2.8,1.9,26.9,100,21,24,3.8
Kabel 464,3.6,1.8,27.7,80,86,26,4.1
Kabel 465,2,2.1,25.7,90,5,26,2.7
Kabel 466,1.5,2.1,19.2,80,25,16,4
Kabel 467,5.8,2.3,19.2,60,35,14,2.6
Kabel 468,9.7,1.7,11.4,70,-1,14,4.9
Kabel 469,9.4,2,23.9,60,149,26,5.8
Kabel 470,2.4,2.6,22.6,60,-29,24,5.9
Kabel 471,1.2,1.7,19.9,50,-26,25,5.9
Kabel 472,7.1,1.7,20.7,50,112,23,3.8
Kabel 473,6,2.1,21.8,90,42,19,4.8
Kabel 474,2,1.7,25.2,100,-27,15,3.4
Kabel 475,2.3,2,15.6,90,-8,22,4.9
Kabel 476,6.7,2,14.8,80,91,16,3.4
Kabel 477,5.3,1.6,18.5,60,95,20,5.9
Kabel 478,2.3,2,19.3,60,65,13,2.7
Kabel 479,5.2,2.8,13.9,90,128,24,4.1
Kabel 480,6.9,2.1,11.1,80,42,19,4.5
Kabel 481,1.6,1.7,23.2,70,99,15,5.7
Kabel 482,3.2,1.9,12.3,90,80,26,5.2
Kabel 483,8.8,1.7,19.8,60,102,16,5.6
Kabel 484,2.8,2,14.9,60,-11,15,2.6
Kabel 485,4.6,2.4,19.9,60,-25,22,2.3
Kabel 486,9.5,2.1,9,70,-38,20,5.3
